ID;ACTIVIDAD;OPERACION;TIPO_EQUIPO;MARCA;MODELO;ANTIG_c;ANO;ANTIG;VELOC_prom;DIESEL_lts;EURO_lts;TOTAL_lts;KM;CONSUMO;CORRECTIVO_usd;CORRECTIVO_cant;PREVENTIVO_usd;PREVENTIVO_cant;HS_encendido;HS_ralenti;DIAS_svs
CAM0001;DISTRIBUCION;OP0020;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2016;6;21.49;409.35;4158.75;4568.1;15213.87;30.03;1767.64;38;1699.36;29;831.97;256.37;293
CAM0002;DISTRIBUCION;OP0020;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2016;6;15.54;130.42;4193.9;4324.32;11782.48;36.7;2183.44;28;1871.75;30;1802;1283.48;292
CAM0003;DISTRIBUCION;OP0003;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2016;6;13.86;1441.97;2418.54;3860.51;10632.4;36.31;118.46;1;2769.17;20;1173.33;646.95;294
CAM0004;DISTRIBUCION;OP0003;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2016;6;9.87;504.9;3619.01;4123.91;10148.48;40.64;356.81;2;1115.53;16;1647.18;1100.37;294
CAM0005;DISTRIBUCION;OP0020;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2016;6;17.13;0;4344.76;4344.76;13359.95;32.52;1500.85;39;1871.75;30;1184.85;610.67;292
CAM0006;DISTRIBUCION;OP0005;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2016;6;9.94;0;2396.41;2396.41;5549.09;43.19;1803.58;13;1450.33;24;978.98;653.75;284
CAM0007;DISTRIBUCION;OP0006;Chasis;MERCEDES BENZ;ACCELO;2-MEDIO;2016;6;14.82;0;4120.33;4120.33;13357.4;30.85;7355.99;51;169.34;1;1514.36;966.89;291
CAM0008;DISTRIBUCION;OP0006;Chasis;MERCEDES BENZ;ACCELO;2-MEDIO;2016;6;18.69;0;2954.45;2954.45;10741.42;27.51;3527.59;49;2549.26;3;1421.05;849.39;293
CAM0009;DISTRIBUCION;OP0030;Chasis;VW;15190;2-MEDIO;2017;5;11.43;58.4;3945.47;4003.87;8960.04;44.69;1401.81;26;973.27;35;1508.74;936.07;296
CAM0010;DISTRIBUCION;OP0030;Chasis;VW;15190;2-MEDIO;2017;5;13.02;106.63;4069.34;4175.97;8753.54;47.71;1661.07;28;2104.63;40;2011.53;1409.92;315
CAM0011;DISTRIBUCION;OP0030;Chasis;VW;15190;2-MEDIO;2017;5;12.67;298.57;3862.01;4160.58;9377.82;44.37;2471.44;39;1320.28;42;1987.23;1400.67;312
CAM0012;DISTRIBUCION;OP0030;Chasis;VW;15190;2-MEDIO;2017;5;10.22;81.51;4816.16;4897.67;9738.78;50.29;487.33;17;993.49;34;2436.14;1793.09;321
CAM0013;DISTRIBUCION;OP0030;Chasis;VW;15190;2-MEDIO;2017;5;19.63;2239.92;15321.86;17561.78;72246.02;24.31;2880.08;20;1308.13;35;2284.79;850;326
CAM0014;DISTRIBUCION;OP0030;Chasis;VW;15190;2-MEDIO;2017;5;16.23;502.02;1610.13;2112.15;4666.46;45.26;1316.18;27;1498.6;38;1176.08;739.41;269
CAM0015;DISTRIBUCION;OP0030;Chasis;VW;15190;2-MEDIO;2017;5;13.15;118.67;3780.07;3898.74;6669.78;58.45;2249.61;32;1419.28;36;1958.77;1449.59;316
CAM0016;DISTRIBUCION;OP0008;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2017;5;26.49;0;13217.48;13217.48;51618.95;25.61;3089.63;9;920.96;13;1164.47;172.45;291
CAM0017;DISTRIBUCION;OP0031;Balancin;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2017;5;9.69;94.5;4150.37;4244.87;16339.66;25.98;58.52;3;14332.35;26;485.96;65.62;179
CAM0018;DISTRIBUCION;OP0001;Balancin;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2017;5;29.87;91.49;2632.71;2724.2;7964.8;34.2;20568.93;23;1795.55;15;202.05;48.16;170
CAM0019;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2017;5;17.55;443.89;3768.86;4212.75;13698.68;30.75;11540.09;6;2942.34;20;497.46;100.08;238
CAM0020;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2017;5;24.48;839.22;2357.41;3196.63;11673.05;27.38;2196.25;6;2860.2;20;426.63;148.08;156
CAM0021;DISTRIBUCION;OP0008;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2017;5;35.21;0;9082.89;9082.89;34936.24;26;703.55;13;2438.06;15;999.33;234.02;295
CAM0022;DISTRIBUCION;OP0007;Chasis;MERCEDES BENZ;ACCELO;2-MEDIO;2017;5;15.98;111.55;3063.01;3174.56;10164.15;31.23;1321.86;4;4123.52;55;1260.17;648.68;296
CAM0023;DISTRIBUCION;OP0020;Chasis;MERCEDES BENZ;ACCELO;2-MEDIO;2017;5;18.47;0;2518.67;2518.67;7797.38;32.3;1985.69;27;1708.8;29;1284.72;866.55;293
CAM0024;DISTRIBUCION;OP0015;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2018;4;28.21;72.82;9384.32;9457.14;37965.3;24.91;7202.46;22;574.69;4;917.2;113.58;290
CAM0025;DISTRIBUCION;OP0008;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2018;4;27.84;0;12095.55;12095.55;49546.51;24.41;6759.14;10;325.66;9;1186.61;118.27;293
CAM0026;DISTRIBUCION;OP0009;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2018;4;23.4;348.02;11394.52;11909.59;42980.27;27.71;2907.14;16;852.75;6;1290.04;419.21;291
CAM0027;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2018;4;36.62;0;4517.97;4517.97;15702.18;28.77;161.14;2;1827.99;20;518.54;99.27;242
CAM0028;DISTRIBUCION;OP0009;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2018;4;33.43;191.43;5961.32;6152.75;21928.08;28.06;4103.09;15;619.8;6;600.57;70.83;286
CAM0029;DISTRIBUCION;OP0015;Chasis;MERCEDES BENZ;ATEGO 1419;2-MEDIO;2018;4;26.3;1971.84;13758.05;15729.89;63868.87;24.63;3293.54;23;574.69;4;1640.79;496.89;294
